商品名,カテゴリ,AmazonURL,AliExpressURL,マッチング精度,Amazon価格,Amazon型番,AmazonEnglishTitle,AliExpressTitle
UGREEN MagFlow 2-in-1 マグネット式ワイヤレス充電器 25W,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0DZX7X8YB,https://s.click.aliexpress.com/s/pyFri10M6ltAv61YZY9TfrxiDaaFXRreuZWJMeLtD8jig1wPxn51K2eq59ds8iT5Wl5L3w5KJyrl7SjOO3B0oJ0Xjwnc7n8AQA7gf5qnT4sCyU05LNms9JvyWQNFHNKtzBcoBpSguMg3UBR1FOODkmGTloXosMhqhnKgzzuJPYPxewVvzupiAiKSJA5SK0iQRxmaQ7UPG0AP2HC7uLitVpvXIfjMl7RnsnN7B8FrGfP9TWP7emQeaXV90Bp9fLEiLeKHsRf9R2jgKD32Axm5na4bRJdkhGVyv3GcDgMjmYrrZWinWctR9gnPwA4ny6WzExZNPeIoNmGg6qlcrCzeKU1xm2DiLVTNuIhqVam3OFBIO2cqZNFVl7d1Br2zNjkMMoqKq1j2lxZimdmM0LiZDESmk4VVE327HMgPOaAOyIbteXJnNDIaSCVh8HxF2RCRTYwsKl644aWqefJjjbIihfsF0mY4pdbaiaIZEL2mOwAb5UluA4bt12GParC51FFE4Hnh8b4IZ4yxA8qweklO6Gy5XH9ddhytEHpy21nW55dk4zxhs0MnhGibVoGzFOtGJefCPMM9iKeFdM0q3DEM8Sm9AR4HEe6EeFSuDWKCFmCrzAaub927pPFmykg7cXrC7yWdvz7V8WiaaRtLpy5HlPDBscmMCPWUfsSN3wfcfk34TDCnnZFgHcoGLZCKXZe12bY8l31Fp6zyABaXx50pa9ba6yiR6W7cDqszWTpmAS55N6UNRBPrWx93yxFWZ0zwD4nANiYKim7PsszqxCeESVffSNyhT9ph2fIFWhPzUMAxraKc5P8kbcqxRGsrGrdyVxTpBZoNxnfBsIqnVFbudQ2JzUsJZgrX319nchFPauMZVgugWiFUo3PeQec63KxFKZ9MF1RmFtfpuNuJuKV62aorhD3O8rBVLwUa2U9fiuqhk37hzRVnZDIlPrebFgqqivBNB6L7NGZvLv49Y3crFeJ3ifqTRxiFkNU90JKkJ0eoLnQRv6bLRoxGdx71m4Ef3cqbMGIp,medium,"¥4,636",W752,"UGREEN MagFlow 【World First Release, Technological Innovation】25W Qi2 Wireless Charger, Super Fast and Super Efficient Wireless Charging, MagSafe Compatible, 2-in-1 MagSafe Charger, Thermal Guard",UGREEN 25 ワット磁気ワイヤレス充電器スタンド 2-in-1 充電スタンド iPhone 16 15 Pro Max/AirPods 用 Magsafe 急速充電器
UGREEN MagFlow 2-in-1 ワイヤレス充電器 15W 原神モデル,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0DK91TT8N,,low,,,,
UGREEN MagFlow 3-in-1 マグネット式 ワイヤレス充電器 25W,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0DZX533Y1,https://s.click.aliexpress.com/s/pyFri10M6ltAv61YZY9TfrxiDaaFXRreuZWJMeLtD8jig1wPxn51K2eq59ds8iT5Wl5L3w5KJyrl7SjOO3B0oJ0Xjwnc7n8AQA7gf5qnT4sCyU05LNms9JvyWQNFHNKtzBcoBpSguMg3UBR1FOODkmGTloXosMhqhnKgzzuJPYPxewVvzupiAiKSJA5SK0iQRxmaQ7UPG0AP2HC7uLitVpvXIfjMl7RnsnN7B8FrGfP9TWP7emQeaXV90Bp9fLEiLeKHsRf9R2jgKD32Axm5na4bRJdkhGVyv3GcDgMjmYrrZWinWctR9gnPwA4mOoew3vaVIvdJlMcvBg57lbjguXakc0KKPk0iay7yvRJeFClPqVuBBmF2q2Shb6174ry4rOhpESIpQP9FI2XEKIse5QvEAP8tsCVm21Ps9EY5q9OpP5qKVKiIB7OdlwDWsXFsaqEYDhjC7JhKWvyliCpVIwjXPp13lZBdAnJnbgKDFQcGBHFq474tqgGBXT6Eo4RhSRWkhvhdestI1l4ugAXaKUG2HC2B39AjIjQfOR5j3ztCUoazvbTt1vb8yObmwVz3YLfkd9j40pdpKJhHIq5GBE3BjiKgP2uwI4GfOICi99tc338qWIM5tlJZum3ddx2cOPaeDfn1q6VbhUOJUGWd6MXGvDaSjBTerzBsnYSl7CZoL8NIwTZKEwzZrnCbv6xgV7eDC0SimGfayblFFgJMcvsxhmijnZSwxM6cTZT0XJ7qF4AU6W5KhHhauFpK0JEKqavHcIKMOytM4dopHk17lNjpvlKkXJLFW0M9DW3MSR8RkS5aJUZW5rfqVjwAM8uZzVEbJcN0FcLirHHXFAJoOHBciDIDqoMcPYHItOPhfMO4XReslEaEsTiOk1pKH6DpajEnOCrEfvFvtqyGyfT3xkjuZCSew2MWHfHE9Jq6UH2GNgC7vtr0rvIZ6NMMTjZbMH6mj9Fn2btAyUBXDnGIJY1NuQsDHtReBOqlICz1qmkO92krI3oh7X67hVu1iaxz9Teqw8Tm,high,"¥8,989",W757,"UGREEN MagFlow 3-in-1 25W Qi2 Wireless Charger, Ultra Fast and Ultra Efficient, Wireless Charging Station Compatible with MagSafe 3 Devices Simultaneously Fast Charging, MagSafe Charger, Thermal Guard",UGREEN MFi認証 Magsafe対応 25W ワイヤレス充電スタンド 15W 3in1充電ステーション iPhone 15/16 Pro Max、Apple Watch、AirPods対応
UGREEN MagFlow 3-in-1 マグネット式 ワイヤレス充電器スタンド 25W,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0DQKHPPBJ,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZeVpeXA08tm96HOGQ5VK6F5bJyZKr3CYxmsCXIPRsGnGY7c6zx51wKrkODTXPi6uSAkcw6LVZV9ufU4sE6kHyuaOc6LZ9KqQnndFitnoeUiwyOuaNWFKstpi15EPJyelpzTBb0FevyyGvXN8TpxvN2oS3JRXSai4cl58o0DlRUjeV42xEkW4faCwL43AHAWefKNIwOSvw1OMC6roih88nA3waifnitWrdWrHMkm6PcMaV1TR3ee0PO1VHAl88NKIy39sWOMWL9FWrs3EU7ouHM5V1lfucSi7yzFDwgrH6j0TE1k04mw0V38HLbe0LJihKUJUUOkPoiKpORox84OrAe7DDyQ9lgWqVeDwwLK9ifl1o0blLsXNfIvrePQVJemwLJkyl48jTvHHzpDnukYzn9oMxH8rIlAypygqTJNPhijDFy7qlQPnKGJu54ZeRsv47nRueMpncLwSA9ht9avUJtNPBZ9uO6KLy4c5j6xBB4LvyzToRqLeIE3TqQ0ylvpS3xNSB8vPq4AfKOkXrgpaFdcEot5pNvv661EsV85ZTBNs97fabv23XlrTH6iCSPRQv9YIU1OdSBDW5otLccz9jJpi1Y3qs5371ypbF0MGHdJJZlJVNva74O46WV9EyD1rFht2YOri9H3CoZ51Vo2s4xYkla313XFruVUeywwNzGmrva81fNt,medium,"¥11,165",W711,"UGREEN MagFlow 25W Qi2 Certified, 3-in-1 Wireless Charger, Magnetic Fast Charging Stand, Tabletop, Compatible with MagSafe iPhone 17/16/15/14/13/12 Series, Apple Watch and AirPods Simultaneously Charging, Strong Magnetic Suction, Thermal Guard Temperature Control, Multiple Protection, PSE Technology Standards 45W PD Adapter Included",UGREEN Qi2 15W 7.5W マグネット式ワイヤレス充電スタンド iPhone 16 15 Pro Max/AirPods用 MagSafe対応急速充電ホルダー
UGREEN MagFlow Air 10000mAh モバイルバッテリー MagSafe対応 15W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0F6NC41DZ,,low,"¥5,985",PB570,"Ugreen Air PB570 Mobile Battery, Magnetic Wireless Charging, Thin, 10,000 mAh, Qi2 Certified, 15W, MagSafe Compatible, Built-in Cable, USB-C PD, 30W High Output, Lightweight, Compact, Portable",
UGREEN MagFlow Air 5000mAh モバイルバッテリー MagSafe対応 15W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0F6NFHB31,,low,"¥4,485",PB580,"UGREEN Air PB580 Mobile Battery, Magnetic Wireless Charging, 0.3 inch (8.6 mm) Ultra Thin, Qi2 Certified, 15W Fast Charging, MagSafe Compatible, 5,000 mAh, Lightweight, Compact, Portable, USB-C PD",
UGREEN MagFlow Qi2 25W マグネット式 ワイヤレス充電器,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0DZX46DJ3,,low,,,,
UGREEN MagFlow マグネット式モバイルバッテリー 10000mAh 25W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0F37VLJQW,,low,"¥6,706",PB773,"UGREEN MagFlow Qi2 25W Certified Power Bank (10000mAh・30W) with Built-in USB-C Cable for iPhone 17-16 Series, 25W Magsafe Compatible, Magnetic Wireless Fast Charging, Display, 25W Wireless Charging",
UGREEN MagFlow ワイヤレス充電器 2-in-1 magsafe対応,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0CPDJLJ67,,low,"¥3,243",35278,"UGREEN MagFlow Wireless Charger 2 in 1 Compatible with MagSafe Foldable MagSafe Charging Stand 7.5W Qi Certified for iPhone 17/16/15/14/13/12 Series, AirPods 3/2/Pro and More with USB C Port Extension",
UGREEN MagFlow ワイヤレス充電器 2-in-1 最大15W,ワイヤレス充電器,https://www.amazon.co.jp/dp/B0CWV3SFVV,,low,,,,
UGREEN MagFlow 車載ワイヤレス充電器 マグネット式 25W,車載充電器,https://www.amazon.co.jp/dp/B0DZX8GQB5,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZeGbyMCbU3ciuWNuwXxTn09A8co0g3V0npZKTDJN18WmGq4G3aSNbfcVmg1w7KSqFPgdnThEotQT0tKiuZJceFdXEvE8eMVgE7FF4SYLrRueXc9fWpVSsVe3q6Iq3BhbeN6ldKwoCo4F11HfuB8juraJVdf80410F4qfM57iGQKTqLGS77PM3keiQnfzMcB3JkMmZn8TTPOsOGLkYX5b2Zt5LflJTwaPIKnLfmuV2Iyp6eiD6YMqWobMMko8yGTRvCpOyE6nCZuP5s7Q8tQjgsadcG3Y1pMoiRcoKNdz0mvq1NlBEp0AGxcHh38ecXKTn4WSx4amWBAPHQoiG1aVn3EoTILLSrH2lUYnyrMy294BbMQY6OZtd5qrGddcQKcusEhMCLRWF3tKPjKMizWxycE6TzhK5BWm6WJTdahoNVH4IPJNWJZVhmCISuFZvoCfXXYanRUD0iEJKj825heRQdY7IYUf74CvY5Wyf6fZEtpXWvQgmh8WT75DRIO9H2N9ZSY1JwiYP8dXMeA0MwhtJFSpeaTOCBxdlXDy8L4vVpjiHuDz13d0amPILCGUPsYxG7F2PRsFXhSXJc6WZJ8y6CuIehllTLK0X6dmHQd2RIqyfB2W5PaQ1twetFynJ4hE6fpwqWryIRutndLqKg08hu8dTD0frhnYmR7gVwZhBt8M0pb3EWR,medium,"¥3,293",W758,"Ugreen MagFlow 2025 Latest Technology Innovation, 25 W Qi2 Wireless Charger, Car Mount, Air Conditioning Outlet Mount, MagSafe Compatible, Super Strong Magnetic, Quick Charging, Just Place It On, iPhone 17 Pro Max, 17 Air, iPhone 16 (iOS 26 Version), Max 25W Output Magnetic, MagSafe Charger, Qi2 Certified 360 Certified Degree rotation with one hand Operation Smartphone Holder",Ugreen 60W急速充電4.0 3.0 QC USBカーチャージャー Xiaomi QC4.0 QC3.0 Type C PD 30W対応 iPhone 17 16 15用カーチャージャー
UGREEN Maxidok 10-in-1 Thunderbolt™ 5 ドッキングステーション,USBハブ・ドック,https://www.amazon.co.jp/dp/B0FRLVWT2D,https://s.click.aliexpress.com/s/pyFri10M6ltAv61YZY9TfrxiDaaFXRreuZWJMeLtD8jig1wPxn51K2eq59ds8iT5Wl5L3w5KJyrl7SjOO3B0oJ0Xjwnc7n8AQA7gf5qnT4sCyU05LNms9JvyWQNFHNKtzBcoBpSguMg3UBR1FOODkmGTloXosMhqhnKgzzuJPYPxewVvzupiAiKSJA5SK0iQRxmaQ7UPG0AP2HC7uLitVpvXIfjMl7RnsnN7B8FrGfP9TWP7emQeaXV90Bp9fLEiLeKHsRf9R2jgKD32Axm5na4bRJdkhGVyv3GcDgMjmYrrZWinWctR9gnPwA4opmc6HUeVIH2XRt8inOYN0vXxBZktSFit6amKosfWP8hDi005JxG6oiL3DVZcuIZABB782Uzn3qsP8ABnvsEkFqD0cNuGvdW35yXovS61EksxEmVcxSOGAsARjIFVUn5fJp1jQc9r4fseqrVKdoemPpdMqMn0ySjXA9YfCsFOvgSuVC3UscgeGaLk9wApUEeEhgT8AK3RXqcqMPKCtyOCcHGoE8CvWPRO8nffyuiIyWLtPHJlXKiVpd5YMpzlmGKpISSjvAqLnw1bC1dZghvCrVmaWO86TALnyMo1FtG65yJZY6LrjF9XKq5xidNF84M1ejdqgN8t3lQz0cZTk99yllEBbFSE5vBCXnKRPiJRmyTvd6xh1Z5G2D8ltxPngoUsoj8bP7jyf6x5sfRNmI894dIMBYMzqyMbipQ3DjRyiWuFfn24pmiNKyBc0B69NQH8Dne2Ef5MCpy16GfZGEHa201kkxBDSIR71XXUJYdvKC3u84n0mxBaQyOmnL4YuPrTw803pyN7k7EVjcDKxZdxQOG59sGjYF8tZoJLYyFw4axxDAjgeAFsWO8ECqwOdAWraO1AVvSQi7xhIjhXUsb7q81OXLWsSLffQl0ALyxZRnbaA9bW5XjoQamfia4KE4cbQvmchlG0BdGBYnqXVhhwfzpsy0AReUTFmd6FVkKqsR627nMt5zSRPDJfpGPygenehRvFyUZilYn7,high,"¥31,492",U712,"UGREEN Maxidok 10-in-1 Thunderbolt 5 Docking Station, Thunderbolt 5 x 2 + DP, 3 Screen Output, 8K@60Hz, DC140W, PD110W, Fast Charging, 120Gbps Fast Transfer, 1Gbps Ethernet, SD3.0 Card Reader, USB-A 3.2 x 3, Thunderbolt 5/4/USB4 Compatible, MacBook Windows Suitable for PC, etc",UGREEN USB Cハブ 10 in 1 デュアルHDMI 8K30Hz 4K60Hz ドッキングステーション ギガビットイーサネット SD TF USB3.0 PD100W Windowsノートパソコン Dell HP対応
UGREEN Maxidok 17-in-1 Thunderbolt™ 5 ドッキングステーション,USBハブ・ドック,https://www.amazon.co.jp/dp/B0GH1JMX6C,,low,,,,
UGREEN Nexode 10000mAh 2way 急速充電モバイルバッテリー 30W グレー/白,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CDWGCMCP,,low,,,,
UGREEN Nexode 100W GaN 急速充電器 白,充電器,https://www.yodobashi.com/product/100000001008134849/,,low,,,,
UGREEN Nexode 20000mAh 2way急速充電モバイルバッテリー 100W USB-C to USB-Cケーブル付き,モバイルバッテリー,https://www.amazon.co.jp/dp/B0C3GTMX5M,,low,"¥7,480",25188,"Ugreen PB720 100 W Mobile Battery, PD / PPS 2.0 Compatible, 20,000 mAh, High Capacity, 3 Ports, 2 USB-C, 1 USB-A, Pass-Through Function, Low Current Mode, Supports 65 W Fast Charging, Multi-Protective Functions, PSE Technology Standards Compliant, Macbook, Windows PC, iPad Pro, iPhone 17, Galaxy S26, Galaxy S26 Ultra Android Smartphones, Laptops, and More",
