ASIN,商品名（簡潔）,カテゴリ,価格(JPY),元価格(JPY),星評価,レビュー数,月間販売数,型番,在庫,商品URL,メイン画像,元タイトル
B0DXDT9SKW,USB-C ケーブル 100W,ケーブル,1448,2180,4.4,1612,2K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DXDT9SKW,https://m.media-amazon.com/images/I/514h8JqfVGL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 39.4 inches (100 cm) Retractable Type, PD 100W/5A USB-C Cable, 4 Adjustable Levels (14.2/23.6 / 39.4 inches (36/60/82/100 cm), Lightweight, Mini, Portable, Room Storage, Double Draw, Metal Finish, PPS Compatible, E-Marker iPhone 17/16/15/15/Series Compatible with Smartphones, Computer, Tablets, Type-C (Black)"
B0CFFFSFFN,HDMI ケーブル 2m,ケーブル,1279,1599,4.4,13039,500+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CFFFSFFN,https://m.media-amazon.com/images/I/71zjZ-AM8ZL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 8K 60Hz HDMI Cable HDMI 2.1 Ultra High Speed Certified Ultra High Speed 48Gbps 10K 8K 4K UHD Dynamic HDR eARC 3D Supports Ethernet, Aluminum Alloy and Nylon Braided Material, 2M"
B0D1XLNWP2,USB-Cハブ 6-in-1 100W,USBハブ・ドック,2248,2999,4,6243,1K+ bought in past month,AMUH12H,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D1XLNWP2,https://m.media-amazon.com/images/I/71khUQvGlzL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok USB-C Hub 6-in-1 100W USB PD Compatible 4K 60Hz 10Gbps High-Speed Data Transfer HDMI Port USB C 3.2 & USB-A 3.2 Compatible with MacBook Pro/Air, iPad Pro, Thinkpad Rog Ally, etc"
B0CTC7KYZF,急速充電器 300W GaN 5ポート,充電器,13985,19980,4.3,102,100+ bought in past month,15853JP,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CTC7KYZF,https://m.media-amazon.com/images/I/515h2J4MlpL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Nexode 300W Charger [Improved Version] PD3.1 Compatible 5-Port Simultaneous Rapid Charging 4 USB-C & 1 USB-A Vertical Space-Saving Double GaNFast III (Gallium Nitride) Single Port 140W Always
B0FM45VH8N,SDカードリーダー Type-C,SDカードリーダー,31685,,4.6,28,,U707,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FM45VH8N,https://m.media-amazon.com/images/I/61PIyABVlBL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Revodok Max Thunderbolt 4 ドッキングステーション 13in1 Thunderbolt4×2+DP 2画面出力 8K@30Hz USB-A3.2 USB-C 3.2 40Gbps高速転送 180W給電 SD/TFカードリーダー/オーディオ/LAN サンダーボルト4/USB-4/サンダーボルト3対応 MacBook/Windows
B0DMN885ZF,急速充電器 45W GaN,充電器,2180,2780,4.3,1711,300+ bought in past month,X524,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DMN885ZF,https://m.media-amazon.com/images/I/41qA5ApeI3L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 45W GaN USB-C Fast Charger Type-C PD Charger [PSE Technical Standards Compliant/GaN II Adopted] Type C PD/PPS/SCP/QC3.0 Fully Compatible with MacBook PD, iPhone 17/15/14/13/12, iPad, Galaxy"
B0CD1NVW7R,急速充電器 65W GaN 3ポート,充電器,3980,5900,4.5,1196,400+ bought in past month,CD335,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CD1NVW7R,https://m.media-amazon.com/images/I/51xttq0Df9L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Nexode Pro Charger, 65 W, 3 Ports (2 x USB-C + 1 x USB-A), Ultra Thin 65W Rapid Charger, 0.6 inch (15 mm), PSE Certified, PD Gen., GaNInfinity Chip + UGREEN Exclusive Airpyra Technology, Type-c Foldable, PD3.0/QC4+/PPS/SCP Standard, Compatible with MacBook/Laptop/iPad/iPhone17/iPhone 17/17/1 6/15/6 Fits 14/13/12 Series"
B0BR3M8XHK,USB-Cハブ 5-in-1 100W,USBハブ・ドック,1427,2099,4.2,29349,2K+ bought in past month,CM478,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BR3M8XHK,https://m.media-amazon.com/images/I/618NLia94GL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok 105 USB C Hub, 5-in-1, HDMI Output, USB Hub, Type-C 100W, PD Fast Charging, 1 x USB 3.0 + 2 x USB 2.0 Ports, 5 Gbps, Ultra Fast Data Transfer, Slim Hub, 4K@30Hz, Compatible with Window"
B0FBWR6YL6,スマートトラッカー FineTrack,トラッカー,1399,2499,4.1,1465,1K+ bought in past month,CM919,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FBWR6YL6,https://m.media-amazon.com/images/I/515cfpUQKzL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN FineTrack Smart Finder Rechargeable Smart Tracker, Compatible with Apple ""Find"" (iOS Device Only), Anti-Find Tag, USB-C Charging, 1 Year Lasting, Ultra Thin, Anti-Lost, Device Wallet, Key Bag, Compatible with iPhone"
B0B38TWKVR,急速充電器 45W GaN,充電器,2980,3980,4.3,6924,200+ bought in past month,CD294,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0B38TWKVR,https://m.media-amazon.com/images/I/51rTSbAeKkL._AC_SY300_SX300_QL70_ML2_.jpg,"Ugreen Nexode Mini 45W Charger, 2 USB-C Ports, PD&PPS, Fast Charging, GaN Fast II, Compact, Folding Plug, PD/PPS/QC4+/SCP Compliant, PS/PSE Technical Standards Compliant, Charger for Many Devices"
B0DG93MZCR,急速充電器 30W GaN,充電器,1584,1980,4.2,3993,3K+ bought in past month,X515,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DG93MZCR,https://m.media-amazon.com/images/I/51y+xbfhaHL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Charger Type-C 30W (2*USB-C+1*USB-A) [PSE Technical Standards Compliance/PD3.0 Support/30W Fast Charging/Compact] GaN Adapter Compatible with iPhone 17/16/15/14/13/iPad/Galaxy S25-S10/Google
B0DNT71SNQ,USB-C ケーブル 65W,ケーブル,4220,5980,4.3,55,100+ bought in past month,X767,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DNT71SNQ,https://m.media-amazon.com/images/I/51vRQK2453L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Type-C Charger, 65W, 5 Ports, PD Desktop Rapid Charger (4 USB-C, 1 USB-A), Simultaneous Charging, Supports PD/QC4+/PPS Standard, Power Cable Included, PSE Technology Standard, Compatible with"
B0CCVG2ML6,"モバイルバッテリー 5,000mAh MagSafe",モバイルバッテリー,3435,4190,4.3,4238,,PB560,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CCVG2ML6,https://m.media-amazon.com/images/I/515JbpCBhUL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Magnetic Wireless Mobile Battery, Qi 7.5W, Compatible with Magnetic Wireless Charging, 5,000 mAh, Compact, USB-C Port Input/Output, USB-C Charging Cable, Meets PSE Technology Standards, Skin"
B0GD6JS49R,スマホケース,スマホアクセサリー,2078,2599,4.8,23,,LP1020,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0GD6JS49R,https://m.media-amazon.com/images/I/81EKyZo7yTL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN パソコンケース 360°全方位保護+二層ポケット 13-13.9インチ対応 MacBook Neo 2026 MacBook Air M5/M4/M3/M2/M1 2026-2018 MacBook Pro M2/M1 2024-2016対応 スポンジを内蔵 軽量 撥水加工 収納力豊富 衝撃吸収 ノートパソコン ケース ノートパソコン用スリーブ
B0DSPVDYQ9,"モバイルバッテリー 20,000mAh 45W",モバイルバッテリー,3979,5280,4.3,2889,500+ bought in past month,PB536,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DSPVDYQ9,https://m.media-amazon.com/images/I/51ktts-3wEL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Mobile Battery, 20,000 mAh, Large Capacity, 45 W, Fast Charging, High Capacity, Built-in USB-C Cable, PD and PPS Compatible, Simultaneous Charging, LED Battery Display, Pass-Through/Low Current Mode, PSE Technical Standards Compliant, Compatible with iPhone 17/16/15, Android, iPad/MacBook/Switch, Carry-on Compatible, Travel/Business Trips/Outages/Emergency Use 536"
B093FKT9BF,SDカードリーダー Type-C,SDカードリーダー,3938,4799,4.2,8780,400+ bought in past month,60515,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B093FKT9BF,https://m.media-amazon.com/images/I/61G2Gm1lcbL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Revodok 107 USB C Hub 7-in-1 USB3.0 Hub 4K@60Hz HDMI Output 100W PD Fast Charging Type-C Adapter 2*USB 3.0 Ports 4K HDMI 100W Power Delivery Gigabit Ethernet LAN Port SD/MicroSD Card Reader
B0DY1BD3T2,USB-Cハブ 8-in-1 100W,USBハブ・ドック,3298,4399,4.4,1920,300+ bought in past month,75027,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DY1BD3T2,https://m.media-amazon.com/images/I/71n3EV8NMLL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Pro USB-C Hub, Type-C 8-in-1, 100 W, PD Rapid Charging, 10 Gbps High Speed Data Transfer, HDMI Output, 4K@60Hz, 2 x USB A/C, MicroSD & SD Card Slots, Compatible with MacBook Pro, Air"
B0DZ1TGX6T,"モバイルバッテリー 10,000mAh 20W",モバイルバッテリー,1979,2580,4.4,630,1K+ bought in past month,PB507,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DZ1TGX6T,https://m.media-amazon.com/images/I/51T4eAA5CwL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Mobile Battery, Small, Lightweight, 10,000 mAh, High Capacity, Simultaneous Charging of 2 Devices (USB-A x 1, USB C x 1), PD20W, Rapid Charging, Small Current Mode, Battery Level Display"
B09DCK46PM,マウス,マウス,3824,4664,4.3,1446,400+ bought in past month,90305,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B09DCK46PM,https://m.media-amazon.com/images/I/61RZyvqnIcL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN USB Hub 7-Port 3.0 Hub 5Gbps High-Speed Transmission Self-Powered DC12V/2A AC Adapter Included Individual Switch C to A Cable 1m 7-Port Expansion Compatible with HDD/USB Memory/Keyboard/Mouse
B0D4QF7NKB,スマホホルダー,スマホアクセサリー,2760,,4.1,34,,35339,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D4QF7NKB,https://m.media-amazon.com/images/I/51WTVAOr5wL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN Built-In USB-C Connector Mobile Battery 5000mAh Compact 22.5W Cordless Lightweight Type C Integrated LED Screen Remaining Capacity Display/Stand Included/PSE Compliant iPhone 17 iPad Pro Galaxy
B0CMQK8CMJ,急速充電器 100W GaN 3ポート,充電器,4880,8880,4.2,691,1K+ bought in past month,X756,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CMQK8CMJ,https://m.media-amazon.com/images/I/51ss1AawMRL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN NexodeX 100W GaNII Charger 3 Ports (USB-C*2+USB-A) Type C Ultra Compact Fast Charger PD3.0/PPS/QC4+/QC3.0 Compatible [New Generation GaNInfinity™ Chip+Unique Airpyra Technology+PSE Technical
B0CCVKQ6V9,急速充電器 65W GaN,充電器,,,4.2,492,,CD381,Click here for details of availability.,https://www.amazon.co.jp/dp/B0CCVKQ6V9,https://m.media-amazon.com/images/I/61148X4Vh5L._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Nexode Pro Charger, 65W (2 x USB-C + 1 x USB-A) type-c, Ultra Compact (Compatible with New Generation GaNInfinity Chip + UGREEN Exclusive Airpyra Technology + PSE Technology Standards), PD Rapid Charger, Metal Texture, Reinforced Heat Protection, Compatible with PD3.0/QC4+, Folding Plug for Laptops, iPad/iPhone 17/15/14/13/Galaxy S 25/Pixel Support 8/XPeria5"
B0CLGZGXMD,急速充電器 65W GaN,充電器,3780,5180,4.4,4100,500+ bought in past month,X754,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CLGZGXMD,https://m.media-amazon.com/images/I/51ru6HB3+tL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN NexodeX【Smallest in our lineup】 65W Charger USB-C*2 and USB-A*1 Next-Generation GaNInfinity™ Chip Unique Airpyra Technology PD3.0/QC4+ Compatible For Home/Business/Travel Use Compatible with
B0DNT9Z2HS,急速充電器 100W GaN,充電器,5235,6980,4.2,75,500+ bought in past month,X765,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DNT9Z2HS,https://m.media-amazon.com/images/I/51NVCpHBUkL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN 100W GaN Desktop Fast Charger (4*USB-C+2*USB-A) Compact【PSE Technical Standards Compliant/PD3.0/QC4.0/PPS Compatible】 Supports Multiple Devices Charging Simultaneously iPhone 17/16/15/14/13
B0982VFYYJ,急速充電器 100W GaN 4ポート,充電器,4586,6980,4.3,1888,400+ bought in past month,CD226,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0982VFYYJ,https://m.media-amazon.com/images/I/51hdPYyvRhL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Nexode 100W Charger, Rapid Type-C 4-Port [USB-C*3 and USB-A*1] PD3.0 PPS GaNII Foldable, Compatible with iPhone 17/16/15/14/MacBook/Dell/iPad/Android, PSE Compliant CD226"
B0D1XSKZRJ,USB-Cハブ 7-in-1 100W,USBハブ・ドック,4134,5699,4.1,2630,500+ bought in past month,45365,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D1XSKZRJ,https://m.media-amazon.com/images/I/71TxHtv9ZuL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 7 in 1 Revodok Pro USB C Docking Station, 2*HDMI Output USB C Hub, 4K@60Hz HDMI Output, 2*USB A & C, 10Gbps High-Speed Data Transfer, 100W PD Fast Charging, Compatible with MacBook Air/Pro"
B0CMQL9D5Q,急速充電器 160W GaN,充電器,14980,,4.3,307,,X762,Only 18 left in stock - order soon. Click here for details of availability.,https://www.amazon.co.jp/dp/B0CMQL9D5Q,https://m.media-amazon.com/images/I/51HIow2EjOL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN NexodeX Charger Total 160W High Output Single Port 140W PD3.1 Compatible USB-C*3 and USB-A*1 PD Fast Charger New Generation GaNInfinity™ Chip Unique Airpyra Technology QC4+ Compatible Notebook
B071X44RLH,スマホケース,スマホアクセサリー,1758,,4.2,613,,40707,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B071X44RLH,https://m.media-amazon.com/images/I/71nxBBo2hqL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN 2.5-Inch HDD Storage Bag Case, Hard Disk Storage Case, Portable HDD Case, Shockproof, Shockproof, Dustproof, Non-Toxic, Deodorizing Treatment, 2.5-inch HDD/SSD/Power Bank/Smartphone/Camera"
B0D5415Q27,スマートトラッカー FineTrack,トラッカー,2890,3999,4.2,3851,1K+ bought in past month,45298,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0D5415Q27,https://m.media-amazon.com/images/I/51HwCM5E2nL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN FineTrack Slim Smart Finder Anti-lost Tag Tracker Card Slim 0.07 inch (1.7 mm) Ultra Thin Wallet Finder, Compatible with SmartTrack Card, Apple ""Find My"" (iOS Device Only), iPhone Compatible"
B0GGJ4DRRQ,モバイルバッテリー 100W MagSafe,モバイルバッテリー,7979,9980,4.6,22,,DZ669,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0GGJ4DRRQ,https://m.media-amazon.com/images/I/61b6bRBnoRL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN [New Life 4-Piece Set] 65W Multi-Port Rapid Charger, Magsafe Mobile Battery, 100W USB-C Cable, Stand, Compatible with Smartphones and Tablets, Black (Perfect Charging Set for Business Trips, Travel, Celebrations)"
B0DSPXHFBM,"モバイルバッテリー 20,000mAh 165W",モバイルバッテリー,9960,13280,4.4,1702,300+ bought in past month,PB726,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DSPXHFBM,https://m.media-amazon.com/images/I/61qCB42OWNL._AC_SY300_SX300_QL70_ML2_.jpg,"Ugreen PB726 Nexode Retractable USB-C Cable Built-in Mobile Battery (20,000 mAh/165 W), Supports Rapid Charging for Laptops, Supports PD, PPS, 5A Specifications, Equipped with TFT Display, Pass-Through/Low Current Modes, PSE Technology Standards, MacBook PD Compatible, Windows PC, iPad iPhone 17, Galaxy S26, Ultra Android Smartphones, Laptops"
B0FJR9813B,"モバイルバッテリー 10,000mAh 65W",モバイルバッテリー,7485,9980,3.8,91,300+ bought in past month,PB512,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FJR9813B,https://m.media-amazon.com/images/I/51vyrrFfuBL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN PB512 Mobile Battery with Outlet, 10,000 mAh, 65 W, Rapid Charging, 3-in-1 AC Plug + USB-C Cable, 3 Ports, Compatible with Laptop (MacBook), 65 W Charger, Mobile Battery, 45 W, Folding Plug"
B0DMZWD4JP,イヤホン Bluetooth ANC,イヤホン・ヘッドホン,2399,3099,3.9,5168,1K+ bought in past month,45785,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DMZWD4JP,https://m.media-amazon.com/images/I/61mLAGzBnXL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Earcuff Earphones, Bluetooth 5.4, Hi-Fi Sound Quality, ENC Equipped, AI Calls, Noise Cancelling, Open Ear, Pinch Type, Fully Wireless, IPX5 Waterproof, Up to 30 Hours of Playback (Black)"
B0FNWYD2LC,NAS,ネットワーク機器,27940,32880,4.2,181,300+ bought in past month,DH2300（HDD付属なし）,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0FNWYD2LC,https://m.media-amazon.com/images/I/51Esaa52phL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN NASync DH2300 2-Bay Desktop NAS NFC One-Touch Connection, Supports 4K Video Playback, Up to 64 TB Storage, 4 GB RAM, Onboard Memory, Backup for Beginners, Easy Setup"
B0DNSQWV5M,USB-C ケーブル 45W,ケーブル,3580,4580,4.1,595,200+ bought in past month,X604,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DNSQWV5M,https://m.media-amazon.com/images/I/51ApVXiOefL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN 【Smallest Retractable Charger by Our Company】45W Retractable Fast Charger 3-Port with USB-C Cable (69cm 8-Step Adjustable) 【PSE Technical Standards Compliant】Type-C PD Charger GaN III
B0DL9MHFJJ,急速充電器 500W GaN 6ポート,充電器,22784,29980,4.6,53,50+ bought in past month,X759,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DL9MHFJJ,https://m.media-amazon.com/images/I/713u9WoQenL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN 500W Charger Type-C Desktop Fast Charging [Single Port Max 240W High Output] GaN PD3.1 240W 6 Ports: 5×USB-C 1×USB-A 6 Devices Fast Charging Simultaneously Compatible with Smartphone/PC
B0BXDQS4BD,USB-Cハブ 10-in-1 100W,USBハブ・ドック,6423,8490,4.3,3251,300+ bought in past month,15534,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0BXDQS4BD,https://m.media-amazon.com/images/I/71UjU1wR2ML._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Pro 210 10 in 1 USB-C Docking Station USB C Hub, 2 HDMI Extensions 4K@60Hz, 1 Extended 8K@30Hz, USB A *3+ USB-C 5Gbps Data Transfer Port, 100W PD Fast Charging, 1Gbps Ethernet Port, SD"
B0CXHM5RY2,"モバイルバッテリー 25,000mAh 200W",モバイルバッテリー,12435,16580,4.4,8208,50+ bought in past month,35525,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CXHM5RY2,https://m.media-amazon.com/images/I/61TZG7+-ziL._AC_SY300_SX300_QL70_ML2_.jpg,"Ugreen PB722 Nexode Mobile Battery (25,000 mAh/200 W), 3 Ports, 2 USB-C, 1 USB-A, Innovative TFT Display, PD3.1, Supports Rapid Charging, Large Capacity, Vertical Design, Space Saving, Pass-through"
